"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2024","13,781.04","13,805.26","13,845.92","13,771.30","","-0.18%"
"08/06/2024","13,805.26","13,601.66","13,813.14","13,569.75","","1.49%"
"08/05/2024","13,602.42","14,001.09","14,001.39","13,527.31","","-2.85%"
"08/02/2024","14,001.09","13,977.97","14,032.60","13,917.43","","0.17%"
"08/01/2024","13,977.97","13,983.40","14,012.19","13,914.08","","-0.05%"
"07/31/2024","13,984.33","13,902.88","14,129.82","13,902.88","","0.57%"
"07/29/2024","13,905.07","13,773.16","13,910.80","13,773.16","","0.96%"
"07/26/2024","13,773.16","13,660.65","13,804.64","13,660.65","","0.82%"
"07/25/2024","13,660.65","13,641.18","13,709.23","13,561.82","","0.14%"
"07/24/2024","13,641.18","13,586.82","13,705.54","13,586.82","","0.28%"
"07/23/2024","13,602.92","13,609.34","13,648.17","13,580.23","","-0.05%"
"07/22/2024","13,609.34","13,623.01","13,652.15","13,592.95","","-0.10%"
"07/19/2024","13,623.01","13,566.00","13,666.34","13,553.43","","0.20%"
"07/18/2024","13,595.96","13,574.81","13,624.07","13,539.95","","0.08%"
"07/17/2024","13,585.39","13,434.74","13,585.43","13,427.59","","0.96%"
"07/16/2024","13,456.34","13,432.16","13,483.35","13,422.03","","0.17%"
"07/15/2024","13,433.94","13,515.20","13,521.25","13,428.75","","-0.61%"
"07/12/2024","13,516.89","13,426.60","13,516.89","13,368.02","","0.62%"
